colorstamp,depthstamp,irstamp,gtstamp
colorstamp,depthstamp,irstamp,gtstamp
colorstamp,depthstamp,irstamp,gtstamp
colorstamp,depthstamp,irstamp,gtstamp
1556356216.498692743,1556356216.496074669,1556356216.485210127
1556356216.532213203,1556356216.529449455,1556356216.535281438
1556356216.599285118,1556356216.596198074,1556356216.585233803
1556356216.632907383,1556356216.629607908,1556356216.635794295
1556356216.700039618,1556356216.696346991,1556356216.685212100
1556356216.733615391,1556356216.729687445,1556356216.735219998
1556356216.801315777,1556356216.796454899,1556356216.785208890
1556356216.835056536,1556356216.829795353,1556356216.835228521
1556356216.901863806,1556356216.896561853,1556356216.885213344
1556356216.935379736,1556356216.929931871,1556356216.935851676
1556356217.001743547,1556356216.996660940,1556356216.985211479
1556356217.035198681,1556356217.030016891,1556356217.035326508
1556356217.102230780,1556356217.096747152,1556356217.085210123
1556356217.135682575,1556356217.130114071,1556356217.135284669
1556356217.202426188,1556356217.196834080,1556356217.185237268
1556356217.235942356,1556356217.230181210,1556356217.235223235
1556356217.302986614,1556356217.296915762,1556356217.285209919
1556356217.336502783,1556356217.330285780,1556356217.335342114
1556356217.403614513,1556356217.397023670,1556356217.385213963
1556356217.437326662,1556356217.430392735,1556356217.435219731
1556356217.504358522,1556356217.497131817,1556356217.485213110
1556356217.537874453,1556356217.530493490,1556356217.535211279
1556356217.571194641,1556356217.563869707,1556356217.585209763
1556356217.638226501,1556356217.630612366,1556356217.635218870
1556356217.671742670,1556356217.663977615,1556356217.685212369
1556356217.739032738,1556356217.730716698,1556356217.735216713
1556356217.772548668,1556356217.764064781,1556356217.785216465
1556356217.839206450,1556356217.830790751,1556356217.835209917
1556356217.872722380,1556356217.864137165,1556356217.885216409
1556356217.939585201,1556356217.930875294,1556356217.935210971
1556356217.972817413,1556356217.964241735,1556356217.985213218
1556356218.040124409,1556356218.030983202,1556356218.035210463
1556356218.073640339,1556356218.064349882,1556356218.085210712
1556356218.140672438,1556356218.131088011,1556356218.135603062
1556356218.174443714,1556356218.164460175,1556356218.185211819
1556356218.207959644,1556356218.231228821,1556356218.235232907
1556356218.308492891,1556356218.298108332,1556356218.285372972
1556356218.342023603,1556356218.331786386,1556356218.335225330
1556356218.375680201,1556356218.365155451,1556356218.385213105
1556356218.443627111,1556356218.431622736,1556356218.435212155
1556356218.477143280,1556356218.464991800,1556356218.485211624
1556356218.543487303,1556356218.531730883,1556356218.535212264
1556356218.577003233,1556356218.565099709,1556356218.585268027
1556356218.644027941,1556356218.631800406,1556356218.635507193
1556356218.677543871,1556356218.665066235,1556356218.685221654
1556356218.744415991,1556356218.731775038,1556356218.735214657
1556356218.777842514,1556356218.765139572,1556356218.785218857
1556356218.844874613,1556356218.831838600,1556356218.835211669
1556356218.878390543,1556356218.865200750,1556356218.885210784
1556356218.945255272,1556356218.931921236,1556356218.935217889
1556356218.978771202,1556356218.965290300,1556356218.985211471
1556356219.045780174,1556356219.032022469,1556356219.035212581
1556356219.079296104,1556356219.065392487,1556356219.085215694
1556356219.146327965,1556356219.132130615,1556356219.135212312
1556356219.179844133,1556356219.165499441,1556356219.185212431
1556356219.246875994,1556356219.232244246,1556356219.235214222
1556356219.280415289,1556356219.265635721,1556356219.285234479
1556356219.347723953,1556356219.332421295,1556356219.335221393
1556356219.381240122,1556356219.399159424,1556356219.385226286
1556356219.448769323,1556356219.432528488,1556356219.435212967
1556356219.482285254,1556356219.499267332,1556356219.485220765
1556356219.549234621,1556356219.532617561,1556356219.535645641
1556356219.582750551,1556356219.599328749,1556356219.585213149
1556356219.649782650,1556356219.632686607,1556356219.635209965
1556356219.682636730,1556356219.699421637,1556356219.685208266
1556356219.749668829,1556356219.732791655,1556356219.735221103
1556356219.782946817,1556356219.799485676,1556356219.785220122
1556356219.849694006,1556356219.832854740,1556356219.835222337
1556356219.883209936,1556356219.899593822,1556356219.885219102
1556356219.916725866,1556356219.932962648,1556356219.935263301
1556356219.983757965,1556356219.999745600,1556356219.985227165
1556356220.017273895,1556356220.033117764,1556356220.035545655
1556356220.050789825,1556356220.066516392,1556356220.085671607
1556356220.117821924,1556356220.133255474,1556356220.135234600
1556356220.185023062,1556356220.200458996,1556356220.185224601
1556356220.218538992,1556356220.233674995,1556356220.235243671
1556356220.285570852,1556356220.300414078,1556356220.285213088
1556356220.319087021,1556356220.333625786,1556356220.335220933
1556356220.386118881,1556356220.400354855,1556356220.385211118
1556356220.419635050,1556356220.433723919,1556356220.435242954
1556356220.486491673,1556356220.500462048,1556356220.485210782
1556356220.519846670,1556356220.533775560,1556356220.535219008
1556356220.586684696,1556356220.600382320,1556356220.585210823
1556356220.620175592,1556356220.633882753,1556356220.635256258
1556356220.687143557,1556356220.700490229,1556356220.685208903
1556356220.720656864,1556356220.733859293,1556356220.735301555
1556356220.787688963,1556356220.800687782,1556356220.785209875
1556356220.821204893,1556356220.833918564,1556356220.835215732
1556356220.888287537,1556356220.900656693,1556356220.885211411
1556356220.921803467,1556356220.934026711,1556356220.935222645
1556356220.988835566,1556356221.000762932,1556356220.985218185
1556356221.022351496,1556356221.034131996,1556356221.035230853
1556356221.089320890,1556356221.100858919,1556356221.085208571
1556356221.122837059,1556356221.134227745,1556356221.135405758
1556356221.189807407,1556356221.200957291,1556356221.185210275
1556356221.223323576,1556356221.234296791,1556356221.235700284
1556356221.290351860,1556356221.301034681,1556356221.285209431
1556356221.323853485,1556356221.334431402,1556356221.335298390
1556356221.390868179,1556356221.401164524,1556356221.385215992
1556356221.424380533,1556356221.434528105,1556356221.435238305
1556356221.491412632,1556356221.501277439,1556356221.485209007
1556356221.524928562,1556356221.534641497,1556356221.535236206
1556356221.591981642,1556356221.601388208,1556356221.585208858
1556356221.625519745,1556356221.634757273,1556356221.635215745
1556356221.692615025,1556356221.701532833,1556356221.685216767
1556356221.726130955,1556356221.735111944,1556356221.735217762
1556356221.793240778,1556356221.801875345,1556356221.785225482
1556356221.826775782,1556356221.835244410,1556356221.835211696
1556356221.893788568,1556356221.901983253,1556356221.885220514
1556356221.927304737,1556356221.935373537,1556356221.935849004
1556356221.994355671,1556356222.002112619,1556356221.985219536
1556356223.100426666,1556356223.104517214,1556356223.112121900
1556356223.167700760,1556356223.170431368,1556356223.162177136
1556356223.201216690,1556356223.203801386,1556356223.212177378
1556356223.268248550,1556356223.270311110,1556356223.262174184
1556356223.301764719,1556356223.303680174,1556356223.312176115
1556356223.368822805,1556356223.370380394,1556356223.362174745
1556356223.402375929,1556356223.403726332,1556356223.412181783
1556356223.469407789,1556356223.470422022,1556356223.462175500
1556356223.502923958,1556356223.503791086,1556356223.512174735
1556356223.569918863,1556356223.570528976,1556356223.562200802
1556356223.603434793,1556356223.603898994,1556356223.612198155
1556356223.670466892,1556356223.670596354,1556356223.662176162
1556356223.704514496,1556356223.703965179,1556356223.712496666
1556356223.771546595,1556356223.770510427,1556356223.762178418
1556356223.805062525,1556356223.803879492,1556356223.812186144
1556356223.872374050,1556356223.870422832,1556356223.862206433
1556356223.905889980,1556356223.903791897,1556356223.912237309
1556356223.972922079,1556356223.970394842,1556356223.962176621
1556356224.006438009,1556356224.003764622,1556356224.012220903
1556356224.073540203,1556356224.070501081,1556356224.062176081
1556356224.107056133,1556356224.103870146,1556356224.112289967
1556356224.173923485,1556356224.170618765,1556356224.162176704
1556356224.207314722,1556356224.203979723,1556356224.212186286
1556356224.274307005,1556356224.270717136,1556356224.262177362
1556356224.307823174,1556356224.304085962,1556356224.312221159
1556356224.374855034,1556356224.370799057,1556356224.362195385
1556356224.408370964,1556356224.404157631,1556356224.412177111
1556356224.475403063,1556356224.470941774,1556356224.462176457
1556356224.508918993,1556356224.504311316,1556356224.512193909
1556356224.575951092,1556356224.571080439,1556356224.562175218
1556356224.609467022,1556356224.604449265,1556356224.612174838
1556356224.676422350,1556356224.671158306,1556356224.662180651
1556356224.709817640,1556356224.704529516,1556356224.712178432
1556356224.776849739,1556356224.771392815,1556356224.762176696
1556356224.810365669,1556356224.804762833,1556356224.812177135
1556356224.877395861,1556356224.871500961,1556356224.862177374
1556356224.910698168,1556356224.904869787,1556356224.912213924
1556356224.977560513,1556356224.971608870,1556356224.962174288
1556356225.010738127,1556356225.004852526,1556356225.012198142
1556356225.077769987,1556356225.071569674,1556356225.062191090
1556356225.111488811,1556356225.104925863,1556356225.112187135
1556356225.178520672,1556356225.171645157,1556356225.162178492
1556356225.212036602,1556356225.205002777,1556356225.212205467
1556356225.279222004,1556356225.271740906,1556356225.262160121
1556356225.313031904,1556356225.305122129,1556356225.312179282
1556356225.380064003,1556356225.371860973,1556356225.362175397
1556356225.413579933,1556356225.405261747,1556356225.412181125
1556356225.480318062,1556356225.471994392,1556356225.462179716
1556356225.513833992,1556356225.505403749,1556356225.512175345
1556356225.580856792,1556356225.572141878,1556356225.562173742
1556356225.614077560,1556356225.605959646,1556356225.612177267
1556356225.681045763,1556356225.672408573,1556356225.662174923
1556356225.714547865,1556356225.705777637,1556356225.712176498
1556356225.781476252,1556356225.772445433,1556356225.762180626
1556356225.814992420,1556356225.805814259,1556356225.812276563
1556356225.882024281,1556356225.872551434,1556356225.862174661
1556356225.915499680,1556356225.905849449,1556356225.912170622
1556356225.982572309,1556356225.972658388,1556356225.962176831
1556356226.016088240,1556356226.006028406,1556356226.012187013
1556356226.049604408,1556356226.039397470,1556356226.062177088
1556356226.116566174,1556356226.106064312,1556356226.112175460
1556356226.150013201,1556356226.139434330,1556356226.162158094
1556356226.217045061,1556356226.206160776,1556356226.212176877
1556356226.250630371,1556356226.239529602,1556356226.262177055
1556356226.317662231,1556356226.306268684,1556356226.312176282
1556356226.351184599,1556356226.339543097,1556356226.362179399
1556356226.418341152,1556356226.406282179,1556356226.412174815
1556356226.452100508,1556356226.473020069,1556356226.462173941
1556356226.519167416,1556356226.506369345,1556356226.512177514
1556356226.552864067,1556356226.573104136,1556356226.562178002
1556356226.620091908,1556356226.606452934,1556356226.612179489
1556356226.653646938,1556356226.673180811,1556356226.662176187
1556356226.720683090,1556356226.706562035,1556356226.712180092
1556356226.754199020,1556356226.773300163,1556356226.762179146
1556356226.821187965,1556356226.806670181,1556356226.812177058
1556356226.854558699,1556356226.873432867,1556356226.862199987
1556356226.921551220,1556356226.906803362,1556356226.912159180
1556356226.955067389,1556356226.973542444,1556356226.962174940
1556356227.022047035,1556356227.006911270,1556356227.012177820
1556356227.055563204,1556356227.073648922,1556356227.062188759
1556356227.122579090,1556356227.107017986,1556356227.112174809
1556356227.156079285,1556356227.173757307,1556356227.162177037
1556356227.223111383,1556356227.207127325,1556356227.212177352
1556356227.256612055,1556356227.273811333,1556356227.262175935
1556356227.323659412,1556356227.307167761,1556356227.312175059
1556356227.357191078,1556356227.373906843,1556356227.362177511
1556356227.424223177,1556356227.407275908,1556356227.412175706
1556356227.457703821,1556356227.474014751,1556356227.462185836
1556356227.524703733,1556356227.507396214,1556356227.512180075
1556356227.558219664,1556356227.574154846,1556356227.562177359
1556356227.625267260,1556356227.607524864,1556356227.612177631
1556356227.658783190,1556356227.674285643,1556356227.662174954
1556356227.725795261,1556356227.707846872,1556356227.712175125
